Predicted Open,Predicted Close,Predicted High,Predicted Low,Actual Open,Actual Close,Actual High,Actual Low
-0.9511919,-0.9589551,-0.95210415,-0.9587993,-0.9850656219947892,-0.9889426347494712,-0.9876253326619996,-0.9872335196835776
-0.9498234,-0.95757276,-0.95073545,-0.957432,-0.9900299375106076,-0.9912730204180076,-0.992034627388745,-0.991304130389948
-0.952425,-0.9601812,-0.9533138,-0.960021,-0.9927603110443076,-0.9920167605249872,-0.9930144706613552,-0.9895452245291708
-0.9615712,-0.96933883,-0.9623425,-0.96913886,-0.9921645931824092,-0.994446311541121,-0.990760831134352,-0.9926107461722398
-0.9639802,-0.97176576,-0.9647483,-0.97153527,-0.9957389003537988,-0.9931571620223562,-0.9962479534609684,-0.9967316113317752
-0.963266,-0.9710387,-0.9640281,-0.97081995,-0.9903277964415566,-0.9869593277975252,-0.9900749408435248,-0.9889144306330429
-0.96672964,-0.9745101,-0.9674578,-0.97426826,-0.9857109830118456,-0.9870584931451224,-0.9861555677530844,-0.9850223237443146
-0.96709704,-0.9748812,-0.9678267,-0.9746295,-0.9859591987876364,-0.9807614935726942,-0.984391849862386,-0.9828613822582168
-0.96810365,-0.9758893,-0.96881264,-0.9756418,-0.979902733858338,-0.9794723440539294,-0.9827751084625796,-0.9790420438176718
-0.97050375,-0.97829384,-0.9711949,-0.97802854,-0.9769241445488468,-0.977092375711594,-0.9797375943174884,-0.9787405170986816
-0.96445584,-0.9722371,-0.9652174,-0.97200346,-0.974491629946096,-0.9712416202033538,-0.9739565190090886,-0.973112018344194
-0.9619119,-0.9696858,-0.962694,-0.96947074,-0.9698748165163849,-0.964300045871543,-0.9675385455734924,-0.9663779216200752
-0.95914024,-0.96691495,-0.9599646,-0.96670985,-0.9645629989144592,-0.9642504631977444,-0.9655298668646416,-0.9632118910706762
-0.95643663,-0.9641999,-0.9572849,-0.9640133,-0.9642154968283518,-0.964200880523946,-0.9662647493190992,-0.96235756536687
-0.95456636,-0.9623258,-0.95543194,-0.9621558,-0.9654069325521484,-0.9605813453366444,-0.9636681646466826,-0.9620057841947146
-0.9497402,-0.95749724,-0.9506654,-0.957351,-0.9579604592784208,-0.9594409438392756,-0.9602387131925472,-0.9565280487997224
-0.94380504,-0.95155543,-0.9448007,-0.951441,-0.9596979697089572,-0.9626638176361878,-0.963521188155791,-0.958638735832655
-0.9416765,-0.94941735,-0.9426878,-0.9493192,-0.9619815548462336,-0.9565155660851554,-0.958279026647327,-0.9594428070832962
-0.94152117,-0.94926053,-0.9425351,-0.9491615,-0.9590526086919008,-0.9559205739995716,-0.9572501912110865,-0.9550706696579356
-0.9400083,-0.9477515,-0.9410454,-0.9476596,-0.9526486416764952,-0.9546810071546056,-0.9566622852475204,-0.9519046391085364
-0.93629116,-0.9440212,-0.9373607,-0.9439546,-0.951854351193964,-0.9507143932507136,-0.952546943502558,-0.9492914075439528
-0.9387723,-0.9465043,-0.93981284,-0.9464228,-0.9510600607114332,-0.972332439026924,-0.9551925203386052,-0.9700464967011252
-0.93645775,-0.94419754,-0.93753326,-0.9441297,-0.9719101858778704,-0.9763982182784132,-0.9704290832276924,-0.9740668529543304
-0.9344069,-0.9421405,-0.9355041,-0.9420816,-0.9724562605846104,-0.972183691005528,-0.9738585346818276,-0.9714536213897468
-0.9320311,-0.93975246,-0.933148,-0.93971086,-0.9704208912231248,-0.9752082341072456,-0.9742504719908716,-0.9727602371720386
-0.9291647,-0.9368866,-0.9303178,-0.9368601,-0.9713641111711304,-0.9770427930377956,-0.9557804263021712,-0.9823588377265664
-0.94172746,-0.9494532,-0.94268817,-0.94940156,-0.9768248582385308,-0.9621184082244026,-0.9654318825373808,-0.9742176163138256
-0.95041573,-0.9581708,-0.95131713,-0.9580325,-0.9647119283799338,-0.9599863532510609,-0.963831210567245,-0.9648702880251232
-0.94922596,-0.9569786,-0.9501532,-0.956836,-0.9608894054327536,-0.958845951753692,-0.9601411208025952,-0.9575331378630236
-0.95024043,-0.95798963,-0.9511471,-0.9578477,-0.9529961437626024,-0.9589946997750878,-0.9561723636112152,-0.9557239775490812
-0.9498285,-0.95759505,-0.950716,-0.9574912,-0.9676905176894248,-0.9628125656575836,-0.9646970000829233,-0.9685388631061732
-0.9459735,-0.95374036,-0.9469519,-0.95361847,-0.9603929738811718,-0.9592426131440812,-0.962051423246876,-0.9599845500884155
-0.940539,-0.9482817,-0.94156754,-0.94819254,-0.957513670881997,-0.9582013769943092,-0.959356854247198,-0.9551209241111004
-0.9368338,-0.9445697,-0.9379025,-0.94449717,-0.9555775878308278,-0.9623167389195972,-0.959356854247198,-0.9583874635668298
-0.9343257,-0.9420494,-0.935407,-0.94200367,-0.9580101024335788,-0.9618209121816108,-0.9603856896834388,-0.959995606068112
-0.9430336,-0.9507825,-0.9440323,-0.9506816,-0.96371906527677,-0.9539868497214244,-0.9564667085303074,-0.9602468783339372
-0.93793315,-0.9456675,-0.9389872,-0.9455919,-0.9565208077788334,-0.958399707689504,-0.9569072460656728,-0.9569300844250428
-0.93528515,-0.94301456,-0.9363677,-0.9429519,-0.9645629989144592,-0.9776377851233794,-0.9569072460656728,-0.974418634126486
-0.93710357,-0.9448308,-0.9381532,-0.9447687,-0.9741441278599886,-0.9633579750693688,-0.967195600428079,-0.9708505679517662
-0.93799096,-0.9457223,-0.9390349,-0.94565296,-0.973399480532616,-0.9665312661924822,-0.9687408132689852,-0.9694936977163094
-0.9358311,-0.94357544,-0.9369183,-0.9435107,-0.963123347414872,-0.9633579750693688,-0.9633252195012688,-0.9602971327871024
-0.9351872,-0.9429172,-0.9362656,-0.9428625,-0.9640665673628774,-0.9711424548557565,-0.9675336463571296,-0.9694936977163094
-0.9469884,-0.9547392,-0.9479027,-0.9546465,-0.9701230322921758,-0.967572502342254,-0.9697921851004956,-0.9727602371720386
-0.9453544,-0.95311415,-0.94633746,-0.95299244,-0.9698251733612266,-0.968960817208616,-0.9698656733459416,-0.967785046308697
-0.946123,-0.95388013,-0.94709355,-0.9537526,-0.9672437292930012,-0.968960817208616,-0.967685522064384,-0.9658753770884244
-0.9399373,-0.9476762,-0.9409679,-0.94758654,-0.9698748165163849,-0.9732745098290984,-0.9702821067368008,-0.969342934356814
-0.9457769,-0.9535178,-0.9467267,-0.9534097,-0.9730023352913504,-0.9631100617003756,-0.9654318825373808,-0.9714536213897468
-0.94702137,-0.9547728,-0.9479724,-0.9546504,-0.9594993970883244,-0.9620192428768054,-0.9592098777563066,-0.9598950971617816
-0.9460412,-0.95379055,-0.9470049,-0.953666,-0.9633219200355044,-0.963457140416966,-0.9609246034833744,-0.9614529852098987
-0.9446699,-0.9524153,-0.94564426,-0.95230097,-0.96044261703633,-0.9680187464064416,-0.9621494075741368,-0.9639154534149872
-0.9478437,-0.95559335,-0.94877934,-0.9554629,-0.9652580030866738,-0.9732745098290984,-0.9683224201915808,-0.9701218783808728
-0.9449087,-0.9526677,-0.9458932,-0.95255315,-0.9768745013936888,-0.9792740133587348,-0.9750343466089596,-0.9871832652304126
-0.9380205,-0.9457554,-0.9390656,-0.9456849,-0.9891860038729186,-0.9856205956049616,-0.982040226008122,-0.986027412807616
-0.9398296,-0.94757074,-0.9408588,-0.94748616,-0.979356659151598,-0.9786294385993524,-0.9757692290634172,-0.9789917893645068
-0.94165677,-0.9493926,-0.94265205,-0.9493074,-0.975037704652836,-0.968266659775435,-0.971065981354889,-0.9719059114682326
-0.9469311,-0.954674,-0.94786674,-0.954559,-0.9520529238145968,-0.9548297551760012,-0.9561723636112152,-0.9565783032528876
-0.9565623,-0.9643279,-0.9573911,-0.9641675,-0.9525989985213368,-0.9522514561384716,-0.9507342334482292,-0.9498944609819336
-0.961479,-0.9692623,-0.96227014,-0.9690497,-0.9473368240745694,-0.9431282441595206,-0.9461289700669616,-0.944718252305932
-0.9546756,-0.96244246,-0.9555385,-0.9622736,-0.9415285749210618,-0.9411945198813731,-0.9439733148672196,-0.940195351521076
-0.9480281,-0.9557873,-0.94897693,-0.9556495,-0.942620724334542,-0.9417399292931584,-0.94402230703085,-0.93934102581727
-0.9331658,-0.9408879,-0.9342644,-0.9408497,-0.940188209731791,-0.9336579534639786,-0.9378492944134064,-0.9360744863615406
-0.92954105,-0.93726593,-0.9306869,-0.93723965,-0.933536026940594,-0.9306829930360598,-0.9347627881046844,-0.9309987865918689
-0.92361116,-0.9313278,-0.92482966,-0.93133414,-0.9327417364580634,-0.9324679692928112,-0.9348607724319457,-0.933310491437462
-0.9204217,-0.9281277,-0.9216711,-0.9281538,-0.927032773614872,-0.9274105365653492,-0.9314803131414404,-0.9267271580728385
