Open,Close,High,Low
-1.2140857833393168,-1.187708180539595,-1.2126318875476922,-1.2072755467447522
-1.1870416192095263,-1.223999202409849,-1.212443237890065,-1.1937675792070601
-1.2072295163768345,-1.1854161160004215,-1.2109340406290436,-1.1962762017497743
-1.2083722275372482,-1.2366055573753054,-1.222630319401957,-1.2119068499005328
-1.2575088074350365,-1.2557060952017547,-1.2580964550359521,-1.2304320625236538
-1.2243701837830399,-1.1842700837308346,-1.2011846263228476,-1.1993637371869612
-1.1866607154893887,-1.2026066000442255,-1.2131978365205753,-1.1991707662221371
-1.2243701837830399,-1.2094827936617476,-1.197351265279854,-1.1933816372774118
-1.1950405973324223,-1.24997593385382,-1.221498421456191,-1.2292742367347087
-1.2426535623496586,-1.199168503235465,-1.2248941152934887,-1.2141453130924929
-1.1897079452504917,-1.1751018255741386,-1.1837684899306642,-1.1594187474683568
-1.188565234090078,-1.1850341052438924,-1.197351265279854,-1.1696462086040382
-1.1592356476394607,-1.170517696495791,-1.1849041608695827,-1.1451388960713675
-1.153522091837392,-1.131552599329834,-1.1486796536119246,-1.1300871608150818
-1.1158126235437411,-1.1059578786423918,-1.127720676649494,-1.0957383290763785
-1.091434785454916,-1.079981147198421,-1.093782603242283,-1.0590738457597848
-1.0761986366494,-1.0750150073635443,-1.0966123481066972,-1.0583019619004883
-1.0891493631340885,-1.084565276276769,-1.105667531672824,-1.0583019619004883
-1.0769604440896758,-1.0639366954242035,-1.0875571645405708,-1.0465268736269173
-1.074675021768849,-1.0604985986154425,-1.0735970898761258,-1.0417064589256095
-1.0449645315980933,-1.0635546846676742,-1.0645419063099995,-1.0339876203326424
-1.0552489320418164,-1.0773070719027178,-1.082274974126997,-1.047881529799983
-1.0792458664105034,-1.0654647384503197,-1.092462055638889,-1.0464535446602838
-1.0765795403695382,-1.0696668567721386,-1.0894398881236949,-1.0471096459406863
-1.0664855917858842,-1.0826552224941237,-1.0939712528999106,-1.0714239875085325
-1.077722251529952,-1.0482742544065151,-1.0724651919303598,-1.0447939943627962
-1.0377273609154736,-1.0429261038151094,-1.063787307679489,-1.0197039095163565
-1.045345435318231,-1.073486964337428,-1.0622781104184678,-1.045179936292444
-1.0735323106084351,-1.0440721360846963,-1.0724651919303598,-1.0417064589256095
-1.048392665079334,-1.0585885448327976,-1.0758608857676575,-1.0393908073477192
-1.0579152580827813,-1.0937335344334644,-1.0871798652253153,-1.0644770327748618
-1.0952438226562948,-1.0967896204856964,-1.115854613184716,-1.093808619428137
-1.1089563565812588,-1.0803631579549502,-1.1060071010565538,-1.0806865938200927
-1.0708659845674697,-1.0922054914073482,-1.1000080419439946,-1.0745115229457192
-1.091053881734778,-1.0761610396331314,-1.093593953584655,-1.0625473231266203
-1.0918156891750537,-1.0685208245025515,-1.0913301576931234,-1.066406742423104
-1.056772546922368,-1.0662287599633775,-1.0785019809744445,-1.0467237040110378
-1.0666760436459528,-1.0658467492068484,-1.089443661116847,-1.0490393555889281
-1.0609624878438848,-1.058970555589327,-1.0641646069947441,-1.030514142965807
-1.0640097176049879,-1.1055758678858632,-1.0849160693337843,-1.0768271745236093
-1.1120035863423618,-1.1426309112691748,-1.1364174258661282,-1.113877599769851
-1.13942865419229,-1.0990816850248704,-1.1213254532559171,-1.1131057159105544
-1.1074327417007075,-1.1517991694258702,-1.1213254532559171,-1.120438612573873
-1.1523793806769784,-1.1277324917645444,-1.149434252242435,-1.1262277415185986
-1.1481894397554615,-1.1235303734427255,-1.1436653457121817,-1.147454547649258
-1.1188598533048442,-1.1155081475556166,-1.1249097967508424,-1.101913399950752
-1.1112417789020863,-1.1751018255741386,-1.1362287762085008,-1.1536296185236312
-1.1889461378102162,-1.2014605677746386,-1.1965966666493435,-1.252044810583961
-1.1527602843971165,-1.138428792947356,-1.1490569529271795,-1.1401216509859393
-1.1241925053867747,-1.133844663869008,-1.1388698714152874,-1.120052670644225
-1.1542838992776676,-1.1896182343222403,-1.1735814084187721,-1.1598046893980047
-1.1893270415303536,-1.1517991694258702,-1.1773544015713246,-1.1872065664030382
-1.153141188117254,-1.2419537079667111,-1.1769771022560698,-1.2162293995125941
-1.2457007921107617,-1.2224711593837332,-1.2207438228256808,-1.2227132239306866
-1.2338927767864871,-1.3107156441419288,-1.2437590810562522,-1.2863936423226645
-1.2780776083224823,-1.3019293967417624,-1.277338720113971,-1.2809904553075875
-1.3828261313604022,-1.3825336663693786,-1.3429888009683877,-1.4855396780212147
-1.4635777200296352,-1.395140021334835,-1.392037711951573,-1.4488751947046212
-1.3641618490736458,-1.3152997732202767,-1.3094091619106687,-1.335022325458357
-1.2940755645682738,-1.2503579446103488,-1.2731884276461631,-1.2715348780312032
-1.2121812647386274,-1.1731917717914937,-1.1950874693883222,-1.1902941018402249
-1.1573311290387707,-1.190000245078769,-1.1599986330695826,-1.1621203409758951
-1.1470467285950479,-1.1563832985042184,-1.1592440344390722,-1.1316309285336754
-1.1664728183220805,-1.1319346100863632,-1.1584894358085611,-1.138963825196994
-1.133334194670084,-1.1388108037038847,-1.1456612590898825,-1.113491657840203
-1.115050816103465,-1.0830372332506528,-1.109251875167749,-1.0860859214158731
-1.0857212296528476,-1.0967896204856964,-1.098498844682974,-1.0860859214158731
-1.094101111495881,-1.0704308782851963,-1.0871798652253153,-1.0876335485537634
-1.021348500949544,-1.027263662797421,-1.0332260631438122,-1.0166202334984664
-1.0312519976731294,-1.0135112755623774,-1.0388855528726415,-1.0069716852572574
-1.003446026103063,-1.0662287599633775,-1.0328487638285568,-1.0532847168150599
-1.024395730710647,-1.0410160500324646,-1.0513364302760653,-1.0613894973376752
-1.0293474790724395,-1.0031969851360945,-1.0320941651980464,-1.001182556312532
-1.1043855119396044,-1.078835114928834,-1.1069880792762172,-1.09766803872462
-1.0693423696869184,-1.0872393515724716,-1.0917074570083787,-1.0860897808351697
-1.0781031552500895,-1.079981147198421,-1.1067994296185897,-1.0791428261014997
-1.0880066519736749,-1.083419244007182,-1.1030264364660367,-1.0712310165437084
-1.0739132143285728,-1.0604985986154425,-1.0807657768659762,-1.0444080524331476
-1.0609624878438848,-1.0475102328934573,-1.07567223611003,-1.0309000848954555
-1.0577248062227125,-1.0631726739111458,-1.0781246816591892,-1.0420924008552575
-1.0651524287654017,-1.0689028352590801,-1.0815203754964866,-1.0405486331366645
-1.0716277920077453,-1.0860933193028848,-1.0969896474219525,-1.0770201454884334
-1.1097181640215343,-1.1246764057123124,-1.1290600892186502,-1.093808619428137
-1.0872448445333993,-1.1197102658774354,-1.1151000145542056,-1.0934226774984883
-1.1036237044993282,-1.0562964802936237,-1.0826522734422526,-1.0714239875085325
-1.0499162799598858,-1.0154213293450223,-1.0351125597200885,-1.01816400121706
-1.0011606037822358,-1.0058710604317977,-1.0215297843708988,-1.017392117357763
-0.9885907810176854,-0.9814223720139424,-0.9958734309335409,-0.9595008279105101
-0.9783063805739625,-0.9753101999094789,-0.9890820432589458,-0.964518072995939
-0.9775445731336864,-0.9466593931698049,-0.9638029891368427,-0.9521679312471915
-0.9455486606421039,-0.9604117804048483,-0.9702170774961824,-0.9490803958100047
-0.940977816000449,-0.9554456405699712,-0.9705943768114378,-0.9465717732672905
-0.9516431201643101,-0.935581081230464,-0.957388900777503,-0.916661273719543
-0.9223135337136926,-0.9338620328260835,-0.9377693363842292,-0.9138824918260747
-0.9489767941233445,-0.9669059632658407,-0.9377693363842292,-0.9773776580918218
-0.9813536103350655,-1.0161853508580803,-1.0007783220318591,-0.9857448791265983
-1.0373464571953355,-1.0119832325362614,-1.0073131461720801,-1.0200937108653017
-1.0335374199939562,-1.0207694799364282,-1.0073131461720801,-1.0198235515145475
-1.001541507502374,-1.0452181683542834,-1.006060512445433,-1.038232981558774
-1.062105199004298,-1.071958921311312,-1.0320941651980464,-1.0405486331366645
-1.0659142362056773,-1.0264996412843626,-1.0441677432862146,-1.0374610976994776
-0.9901143958982372,-0.9795123182312977,-1.009078906967475,-0.9737806793074992
-0.9885907810176854,-0.9657599309962541,-0.9868182473674141,-0.9722369115889056
-0.9516431201643101,-0.9176265756736016,-0.9434250531199058,-0.9212925768753233
-0.9089819035088661,-0.8989080486036815,-0.9162632754146792,-0.8753654872471694
-0.8964120807443158,-0.9099863605430218,-0.9143767788384024,-0.8769092549657626
-0.8975547919047294,-0.8863016936382244,-0.9070496261361453,-0.8711201260210376
-0.8941266584234883,-0.8679651773248335,-0.8840041839603535,-0.8647134899888745
-0.8868894877408685,-0.900054080873268,-0.9053215952722762,-0.8718920098803342
-0.8781287021776968,-0.9203006509693042,-0.8996621055434469,-0.8900312805738066
-0.8914603323825233,-0.936727113500051,-0.9083399897943182,-0.9356264601424629
-0.9546903499254131,-0.9856244903357614,-0.9815360569538403,-0.976868214744686
-0.9779254768538244,-1.0066350819448555,-0.9871955466826695,-0.9899902403527301
-0.9794490917343762,-0.9718721031007178,-0.9887047439436902,-0.964518072995939
-0.9310743192768637,-0.9348170597174061,-0.9456926220045896,-0.9081705512672792
-0.9329788378775535,-0.9145704896213698,-0.9087172891095737,-0.8915750482924003
-0.9002211179456945,-0.908076306760377,-0.927959554187592,-0.9000657707446641
-0.8773668947374212,-0.8790434892641737,-0.8649505685399621,-0.863787229357719
-0.9211708225532789,-0.9180085864301308,-0.9272049555570817,-0.9185909833677846
-0.9009829253859706,-0.9122784250821958,-0.9207908671977421,-0.8896453386441582
-0.9200281113928651,-0.8813355538033478,-0.9106037856858499,-0.8911891063627518
-0.8796523170582486,-0.8969979948210361,-0.9041896973265103,-0.9008376546039606
-0.9124100369901073,-0.9191546186997173,-0.928714152818103,-0.8981360610964224
-0.9032683477067981,-0.8820995753164056,-0.9041896973265103,-0.8902242515386307
-0.9032683477067981,-0.8996720701167393,-0.8989075069129365,-0.8745897439685764
-0.9093628072290042,-0.8893577796904568,-0.9189043706214658,-0.89389069987029
-0.9306934155567261,-0.9264128230737685,-0.9290914521333579,-0.9155034479305978
-0.9207899188331408,-0.9764562321790653,-0.9389012343299951,-0.9448350345838729
-0.9604039057274817,-0.9554456405699712,-0.975499267909756,-0.9868872672383574
-0.9866862624169961,-1.0406340392759352,-0.9967223543928649,-1.0135326980612795
-1.0297283827925776,-1.0051070389187393,-1.0302076686217703,-1.0432502266442025
-0.9840199363760306,-0.9225927155084783,-0.9524840096791847,-0.9610445956291037
-0.7215772732010237,-0.64678094929455,-0.6570586458343094,-0.9610445956291037
