Open,Close,High,Low
-1.0978774530007536,-1.1017925960302815,-1.1059105292837224,-1.091577408904754
-1.0978774530007536,-1.1102429670471627,-1.1165795843820532,-1.091109610689342
-1.1021618884384512,-1.1104744840613239,-1.1146293269984875,-1.0963723406127281
-1.120341790160574,-1.1316582908570674,-1.134706653157185,-1.1121605303828865
-1.130994980978633,-1.132468600406631,-1.1387218889468795,-1.1211656460295694
-1.1247420211506418,-1.1376777332252566,-1.1445715138873513,-1.11964530182948
-1.1404902162729902,-1.1230921613331055,-1.1355292028889596,-1.1209317469218634
-1.1454694250249091,-1.1563148528652276,-1.1655654610163249,-1.141857530592785
-1.1491748827007557,-1.1389510768031428,-1.155699453075933,-1.1301707616762522
-1.1402586251682498,-1.129806154743778,-1.150766449105737,-1.1253758299682783
-1.1243946344935312,-1.1276067431092476,-1.1380324156012775,-1.1080672959980304
-1.1313423676357437,-1.1316582908570674,-1.1474395394514187,-1.1168385125370075
-1.1301844121120417,-1.1138314807666603,-1.1326405275408309,-1.1091198419827077
-1.1124676925993997,-1.0892906772655806,-1.1044191559904073,-1.0916943584586072
-1.0861821022113625,-1.1002877354382343,-1.1068282974642238,-1.0916943584586072
-1.0953299508486087,-1.0794512041637325,-1.098109499749459,-1.0752044713653308
-1.077497435783597,-1.0722741767247375,-1.091857204019792,-1.057194240071965
-1.0697391337747928,-1.0515534039573167,-1.0697734071764728,-1.0516976110408727
-1.050864458738449,-1.050048543365269,-1.0689703600185338,-1.038131462793922
-1.0516750276050404,-1.0506273359006721,-1.0687409179734084,-1.0354416230553023
-1.044264112253347,-1.0417139308554686,-1.0609398884391452,-1.0260271839701338
-1.036853196901654,-1.0373151075864069,-1.0534830219725697,-1.019770382838997
-1.0367374013492834,-1.042408481897952,-1.0550891162884475,-1.0239805667777058
-1.0529487786811127,-1.0546788836484917,-1.069314523086222,-1.038365361901628
-1.0589701474043636,-1.0583831558750698,-1.0739033639887299,-1.0462009820097806
-1.0728656136887884,-1.0735475203026237,-1.0864079554480637,-1.0635095159800283
-1.07379197810775,-1.0683383874839982,-1.0866373974931893,-1.0561416940872876
-1.0610544673470272,-1.0736632788097045,-1.0807866253424916,-1.0554399967641694
-1.071476067060346,-1.0826924423619884,-1.0923734486213241,-1.0690061450111203
-1.0713602715079757,-1.0443763765183216,-1.0635784719580872,-1.0497094686253714
-1.0475063877197128,-1.0419454478696295,-1.0587601890104539,-1.0278399020548556
-1.0399796768156493,-1.0414824138413075,-1.0610546094617077,-1.029477195808798
-1.0476221832720831,-1.0488909582944634,-1.0665612185447173,-1.0327517833166826
-1.0558436674903677,-1.0566467782688613,-1.071494222514913,-1.0396518069940113
-1.059780716270955,-1.0638238057078564,-1.078721646936363,-1.050352691171563
-1.0661494716513165,-1.0522479549998,-1.0698881281990353,-1.0500603172869305
-1.044090418924792,-1.046691546659933,-1.0620870986647721,-1.0327517833166826
-1.043106156729645,-1.0376623831076486,-1.0561216054915117,-1.0233958190084407
-1.0323371703592155,-1.0289804950766062,-1.0471733657316213,-1.0126364600539626
-1.0308318281784028,-1.0371993490793265,-1.04499366630293,-1.0180161395312015
-1.0438009300438662,-1.0510903699289942,-1.0624312617324603,-1.034739925732184
-1.052022414262151,-1.0363890395297626,-1.0573835367397015,-1.0324009346551235
-1.0435693389391256,-1.0536370570847666,-1.0573835367397015,-1.03497382483989
-1.0549173030714063,-1.036504798036843,-1.0549743952658848,-1.0355585726091554
-1.0544541208619254,-1.0356944884872792,-1.0488941810700618,-1.0350907743937432
-1.038126947977726,-1.0510903699289942,-1.0505002753859398,-1.0314653382242995
-1.0527171875763723,-1.0833869934044718,-1.0736739219436044,-1.0665502043802069
-1.0869926710779538,-1.0885961262230972,-1.0945531480500155,-1.0720690538265312
-1.0839819867163285,-1.0634765301866147,-1.079411120281965,-1.062456969995351
-1.0563068496998487,-1.064171081229098,-1.0757400475599588,-1.0539711103677756
-1.0740235692124906,-1.0986671163391064,-1.0948973111177034,-1.0782451597655094
-1.096487906372311,-1.0799142381920548,-1.0998303150878994,-1.09181130801246
-1.0832872134021072,-1.1044550416931345,-1.1037308298550312,-1.0895307917123263
-1.1074884838474808,-1.1196194061206886,-1.119677051991246,-1.0994130290129067
-1.114204625884953,-1.1318898078712285,-1.121627309374812,-1.1139732484676084
-1.1205733812653143,-1.1102429670471627,-1.1195967472754522,-1.1085350942134427
-1.1256683855696035,-1.1346680120411619,-1.1453745610452901,-1.1599928979087737
-1.1560647180667831,-1.1337419439845173,-1.1433095826391617,-1.135725865484271
-1.1124676925993997,-1.0993616673815898,-1.1138262798405485,-1.0961384415050222
-1.1020460928860811,-1.0866282316027276,-1.1044191559904073,-1.081636696827247
-1.0787711868596692,-1.0545631251414112,-1.0751652952369195,-1.0592993320413193
-1.0453062722246789,-1.1200824401490108,-1.0664464975221546,-1.101284221874555
-1.1232366789698291,-1.1135999637524991,-1.1251836610742556,-1.1045588093824399
-1.1118887148375487,-1.110706001075485,-1.125643692374732,-1.1022198183053793
-1.1132782614659913,-1.1124423786816935,-1.1326703550066972,-1.1022198183053793
-1.1089938260282934,-1.0951943611266894,-1.11474404802105,-1.0940333495356678
-1.0860663066589922,-1.1010980449877983,-1.1068282974642238,-1.0870748510814126
-1.1070253016379998,-1.0924161569567559,-1.1109238379697122,-1.0933316522125496
-1.0791185735167799,-1.0801457552062161,-1.0906526332828836,-1.0616383231183797
-1.082013462326035,-1.0672965609202734,-1.086521529260401,-1.0604688275798495
-1.0695075426700524,-1.0699590065831261,-1.0812455094327424,-1.055438827268631
-1.0686969738034608,-1.088133092194775,-1.0866373974931893,-1.0678366494725902
-1.0866452844208432,-1.0845445784752774,-1.1031572247422177,-1.0775434624423912
-1.0808555068023329,-1.085470646531922,-1.10155113042634,-1.0681874981341493
-1.0843293733734392,-1.0829239593761495,-1.1009775253135266,-1.0725146316267111
-1.0843293733734392,-1.0752838979088324,-1.0924881696438868,-1.0649129106262645
-1.0857189200018815,-1.0690329385264816,-1.0873257236285654,-1.0646790115185585
-1.0696233382224225,-1.038935726685535,-1.055434426566361,-1.0498264181792243
-1.0439167255962363,-1.0340738693881515,-1.0460835160172757,-1.025033112762383
-1.0404428590251302,-1.039398760713857,-1.053024137882319,-1.028658548931827
-1.0394006990537985,-1.0132373381136497,-1.0283591180313392,-1.0227233590737859
-1.015315224160795,-1.002471796955157,-1.0122981748725615,-0.9969652198376573
-1.011841357589689,-1.0013142118843514,-1.0159692475945676,-0.9917013204187324
-0.989261224877498,-0.9889280516267311,-1.0050707504511116,-0.9706515702207267
-0.9821976961829155,-0.9686703128876323,-0.9891245283148965,-0.9596583121585425
-0.9680706387937501,-0.9642714896185709,-0.9792585203745047,-0.94410402149609
-0.9642493855655331,-0.9657763502106181,-0.9792585203745047,-0.9486650540963582
-0.9583438123946526,-0.9706382075080018,-0.977193541968376,-0.9526998137042875
-0.9722392786790774,-0.9939056674311951,-0.9930250430820282,-0.9743284641938655
-0.994124638077047,-0.9955262865303233,-1.0095448703310566,-0.9795397363135565
-0.9905349759535705,-0.999346317263982,-1.0058737976090504,-0.9832821220368532
-0.9993354379337063,-1.0062918276888158,-1.0145960369544922,-0.9892699391941281
-1.0004933934574083,-0.9962208375728067,-1.0135601061207509,-0.982112626498323
-0.998756460171855,-1.017636161382711,-1.0197550413391367,-1.0015227439513097
-1.0366216057969133,-1.0249289473287866,-1.0205580884970755,-1.0264365074086195
-1.0347109791828049,-1.0832712348973912,-1.0552267815155225,-1.0637597880252738
-1.077497435783597,-1.0978568067895424,-1.0934139682959678,-1.081870595934953
-1.1116571237328083,-1.1259861240101197,-1.0934139682959678,-1.1099969636366056
-1.1217313367890163,-1.1130211712170965,-1.1251836610742556,-1.109938488859679
-1.0779027202168925,-1.0872070241381304,-1.094667869072578,-1.0712281865343278
-1.089192786572988,-1.0784093776000074,-1.0967328474787066,-1.076958714673126
-1.0567700319093294,-1.0710008331468515,-1.0739033639887299,-1.0611705249029677
-1.0722866359269374,-1.0637080472007758,-1.0731003168307909,-1.0526332074716969
-1.0594333296138443,-1.041366655334227,-1.0603662833263316,-1.0378975636862158
-1.0328003525686962,-1.0206458825668057,-1.0360454265430397,-1.015771877592762
-1.015894201922646,-1.0071021372383797,-1.0167722947525064,-0.9977838667146284
-1.0082516954662124,-1.0023560384480765,-1.0213611356550145,-0.9973160684992164
-1.0021145311905912,-0.9946002184736785,-1.0122981748725615,-0.9861239961954816
-0.9985248690671149,-0.9999251097993846,-1.01734589986532,-0.982229576052176
-0.9979458913052637,-1.0218034676376115,-1.0171164578201946,-1.001643201991778
-1.0105676065136164,-1.0218034676376115,-1.0223936248580787,-1.0105313680846082
-1.0280527349215178,-1.0321059747677817,-1.0444212084003421,-1.016261896223406
-1.0332635347781773,-1.0499327848581888,-1.0479775600997858,-1.0446806378096911
-1.0355794458255814,-1.0272441174703981,-1.043846456077303,-1.014975451131023
-1.0168205663416077,-0.9999251097993846,-1.0207301700309195,-0.9953279260837148
-1.0046620333427358,-1.0029348309834791,-1.0175753419104456,-0.9888957006217987
-0.9962089580197105,-1.011037926479119,-1.0175753419104456,-1.0005906560071012
-0.9989880512765956,-1.0079124467879437,-0.998875815232726,-0.9980177658223346
-1.0333793303305474,-1.0174046443685498,-1.0289327231441523,-1.0113500149615793
-1.014736246398944,-1.019256780481839,-1.0225083458806412,-1.0035143948534266
-1.02365250393145,-1.0121955115499246,-1.03180074870822,-1.0104144185307549
-1.0053568066569571,-1.0068706202242184,-1.020673956729864,-1.0064369642042137
-1.0123045397991697,-0.9930953578816313,-1.010577359534121,-0.9933386141726749
-0.9847451983350601,-0.9559368771087703,-0.9722605379981799,-0.9641023952049573
-0.9576490390804313,-0.9676284863239072,-0.977193541968376,-0.9462091134654446
-0.9643651811179033,-0.9741109627204189,-0.983273756164199,-0.9587227157277181
-0.9999144156955574,-0.9925165653462287,-1.0092007072633684,-0.9913516412527119
-0.9509328970429591,-0.9061607190641273,-0.9071563576938495,-0.9307717723568454
-0.9098254759515353,-0.8154060495129646,-0.8341364268326925,-0.8873834878773731
-0.8344425713585295,-0.8420305061414946,-0.8501973699914702,-0.8319493993510393
-0.8613071395084181,-0.8327698255750493,-0.8531801165781002,-0.8473867404596385
-0.8334004113871976,-0.8204994238245094,-0.83700445239676,-0.8107803606081032
-0.8375690512725252,-0.821657008895315,-0.8326450535393776,-0.8135883193961145
-0.8199681273122534,-0.8059138519323583,-0.8270237234338053,-0.8069210253309537
-0.8132519852747816,-0.8129751208642726,-0.82679428138868,-0.7930051979179823
-0.8350215491203806,-0.8180684951758175,-0.8351689160357568,-0.8172137555655583
-0.8124414164081899,-0.811817535793467,-0.8288592597948083,-0.7953091041288869
-0.820083922864624,-0.8137854304138369,-0.8326450535393776,-0.8001391207030166
-0.8091991409418243,-0.8122805698217892,-0.8304653541106863,-0.7931806222487616
-0.8139467585890029,-0.7927173821251738,-0.815894637034998,-0.7937068952411005
-0.8053778877136073,-0.7912125215331265,-0.8145764924857525,-0.783415334502034
-0.7944352080146228,-0.7752378475560087,-0.7955328027403448,-0.773474622424527
-0.7789765017731998,-0.7454879112363036,-0.7654185343176367,-0.754411845146484
-0.7442378360621373,-0.6935123415571299,-0.7127615849613587,-0.7204964745291068
-0.7315003253014145,-0.7354169211202944,-0.7462601235496664,-0.7265661563740788
-0.747943293737984,-0.738426642304389,-0.7592235990992512,-0.7285659937449654
-0.7426166983289546,-0.7546328332956681,-0.7596824831895019,-0.7410795960072394
-0.7638072844127025,-0.7697971977232221,-0.7867566445142986,-0.7566338866696914
-0.7788607062208297,-0.7794051538109091,-0.7923779746198709,-0.7607271210545472
-0.7814082083729743,-0.7458351867575453,-0.766451023520701,-0.7566338866696914
-0.7384480584436269,-0.7249986554830435,-0.7347880212933967,-0.7173388365750754
-0.7399534006244396,-0.738426642304389,-0.7541758741064926,-0.7193269789905766
-0.732889871929857,-0.7378478497689864,-0.7454570763917276,-0.7157015428211329
-0.7477117026332437,-0.7531279727036209,-0.7563555735351838,-0.7332439758990865
-0.7532698891470135,-0.734722370077811,-0.7497017542265472,-0.7291507415142308
-0.7523435247280518,-0.7593789320859713,-0.7666816127760523,-0.7378050084993546
-0.7632283066508513,-0.7761639156126533,-0.78322782586027,-0.7524237027309827
-0.7680917198504003,-0.7666717180320468,-0.7805628565061384,-0.7477457205768617
-0.7675127420885491,-0.7715335753294307,-0.786641923491736,-0.7685627411627001
-0.7621861466795198,-0.747455805856673,-0.7662227286858012,-0.7394423022532969
-0.7569753468228602,-0.7376163327548252,-0.7566997366028719,-0.7341795723299108
-0.7436588583002861,-0.7234937948909963,-0.7454754317553377,-0.7413134951149452
-0.7360163518438525,-0.7423624315451283,-0.7534875479711164,-0.7231863142677266
-0.7321950986156358,-0.7376163327548252,-0.7510784064972996,-0.7137134004056316
-0.7347426007677803,-0.7568322449301988,-0.7569291786479974,-0.7332439758990865
-0.767396946536179,-0.7707232657798668,-0.7840033399727938,-0.750201661207775
-0.7735341108118,-0.8100811581872586,-0.7907145197927117,-0.7878594175484492
-0.814062554141373,-0.8113545017651449,-0.8272543126891564,-0.8133544202884083
-0.8094307320465646,-0.8023253382128608,-0.8219759984410466,-0.7954611385488956
-0.7906718525625908,-0.758915898057649,-0.7778072575441826,-0.7661068005317865
-0.7640388755174431,-0.7880870418419514,-0.7882480178076137,-0.7668084978549047
-0.7922929902957738,-0.804640508354472,-0.8141749689067831,-0.8031798091031952
