Open,Close,High,Low
-1.454296831615606,-1.4500688212969048,-1.4586103850140149,-1.4445750192838283
-1.4503654063739082,-1.448996678332323,-1.4506307835729804,-1.438942349314281
-1.443217360479912,-1.446673701909062,-1.4521380416229537,-1.4414757894861248
-1.461980980951652,-1.4715116805885433,-1.4696045025549955,-1.459530604935538
-1.4764557738869941,-1.476157633435065,-1.4807759445724433,-1.4659993461993497
-1.4735965555293957,-1.4763363239291618,-1.486095678866466,-1.4784503217238454
-1.4811020037180915,-1.4920610874096965,-1.4884008970605427,-1.4815135139657618
-1.491466670264386,-1.4915250159274058,-1.4944299292604353,-1.4807927628500166
-1.4846760266650898,-1.4942053733388605,-1.493543306878098,-1.4835532396233202
-1.4993295207477817,-1.4899168014805328,-1.4972671208839141,-1.4892615884600209
-1.4851227795334643,-1.490452872962824,-1.4949619026898375,-1.4795314483974629
-1.491287969117036,-1.4899168014805328,-1.4999269880309256,-1.4851172695444868
-1.486284336991239,-1.4827691817166533,-1.488046248107608,-1.4779097583870364
-1.4873565438753382,-1.487951206045466,-1.49549387611924,-1.4829550161972518
-1.4796723945392924,-1.485628229622205,-1.4852090564841292,-1.480432387292144
-1.4821742106021911,-1.4772297763996467,-1.4804212956195086,-1.4710626227874586
-1.4709160383191473,-1.473834657011804,-1.480243971143041,-1.465116426082562
-1.4730604520873458,-1.4784806098583256,-1.4839677851488569,-1.4698013083349049
-1.4750261647081948,-1.4724051330590282,-1.4800666466665735,-1.4654768016404347
-1.472881750939996,-1.473834657011804,-1.4783022681257227,-1.4649362383036257
-1.465465653324975,-1.473834657011804,-1.4692498536020604,-1.4624136093985183
-1.4739539578240954,-1.4800888243051986,-1.4795346732371712,-1.4689003694402236
-1.476813176181694,-1.4704395376239612,-1.481485242478313,-1.476918725602887
-1.4886074519067876,-1.4790166813406167,-1.480243971143041,-1.4784503217238454
-1.4775279807710935,-1.4870577535749812,-1.4899968173487497,-1.4786305095027814
-1.4946832909166845,-1.5034972790319037,-1.4990403656485884,-1.4934059073755548
-1.4930749805905352,-1.4972431117385092,-1.502586855177937,-1.4871443820575199
-1.4984360150110323,-1.49956608816177,-1.50719729156609,-1.491423841807256
-1.4977212104216329,-1.499208707173576,-1.509147860807232,-1.491423841807256
-1.5025461414000802,-1.5088579938548135,-1.514467595101255,-1.5022351085434316
-1.5113024976202254,-1.5338746630283915,-1.5173047867247338,-1.5234972664579103
-1.5375715662806613,-1.499744778655867,-1.510389132142504,-1.5323246657479974
-1.5000443253371816,-1.500280850138158,-1.5061333447072855,-1.498270977406834
-1.5036183482841796,-1.4934906113624726,-1.496380498501577,-1.4925049684808736
-1.4941471874746348,-1.491435670680357,-1.495139227166305,-1.4833153917551243
-1.4941471874746348,-1.48652168209269,-1.4915927376369564,-1.4833153917551243
-1.4884287507594376,-1.4902741824687267,-1.496735147454512,-1.484392914673163
-1.4891435553488375,-1.4911676349392116,-1.4953165516427724,-1.4831352039761878
-1.4836038197809902,-1.4747281094822888,-1.4772294550430947,-1.4730446883557575
-1.4778853830657932,-1.483126562704847,-1.4853863809605967,-1.4730446883557575
-1.486284336991239,-1.4902741824687267,-1.4908834397310866,-1.4798918239553354
-1.4861056358438889,-1.4634706083541789,-1.4701364759843978,-1.4758556177071631
-1.4650189004566,-1.4783019193642286,-1.4701364759843978,-1.4758556177071631
-1.4798510956866424,-1.4695460851534763,-1.4779387529489645,-1.4690805572191596
-1.4760983715922942,-1.4420277490625404,-1.4350262296438467,-1.4701616838927771
-1.4408942455643632,-1.4674017992243125,-1.4526168177094156,-1.4636749238510718
