ticker,open,close,high,low
mmm,29.72524196390277,29.739767638712387,29.773427703181646,29.658960235388566
axp,35.42646410261482,35.39182188106249,35.89657418336197,34.89872137447401
amgn,37.37364646791216,37.37980311264956,37.726651187523956,37.033567576654306
aapl,50.521388932615274,50.584724945705105,51.18934938885905,49.91149367259035
ba,86.11350625114278,86.14216121829298,86.92096612419154,85.26441041711304
cat,51.76913293598602,51.75197479993697,52.36658851197254,51.086284458390246
cvx,24.290335999456257,24.31448438221453,24.487335272828837,24.09823858027972
csco,10.259193187085845,10.261586754603558,10.358918450131014,10.159902827102275
ko,7.155894063292014,7.155121974284106,7.216790365916186,7.077410498048842
dow,8.68696421266456,8.695620871624545,8.643467804176051,8.710716893815789
gs,70.67039867518156,70.63335515506056,71.40564087238995,69.79780152261343
hd,80.48154638504656,80.48656634625739,81.4232838017558,79.5430032322274
hon,16.62427283073963,16.605410154081,16.48375932257172,16.720495382153217
ibm,15.66245765063589,15.661173544867596,15.560997206795962,15.768324254523508
intc,10.51261061668796,10.507715839342222,10.655399439631287,10.364748613861595
jnj,24.2433624039777,24.242162327885033,24.447477355603386,24.03806680201574
jpm,31.429124930606772,31.409533487378987,31.724036916576274,31.111627858850014
mcd,56.527404531824445,56.52649413400344,56.95173011816279,56.06406917022797
mrk,15.464237317624505,15.500729403330336,15.630041827798781,15.355279093611006
msft,90.87911164085014,90.91093573765455,91.88917659072995,89.82817592314424
nke,35.01568488679273,34.96467781158491,35.36729492213836,34.58885924546975
pg,27.226355681161994,27.238358601405015,27.51407549355447,26.965474959913422
crm,63.493857079127466,63.393573921644126,64.26449920046552,62.511485941670216
trv,24.56955338979504,24.554877005023023,24.79084984614665,24.310397827635576
unh,135.56088513688903,135.5178389047166,136.97130985616135,134.1075735308244
vz,5.779404752761183,5.791804071271458,5.807208737508596,5.774121527880191
v,60.101214676557944,60.08498143405139,60.77128477232698,59.42509186885429
wba,17.959677780258374,17.978238652491306,18.052821525715945,17.87295542499363
wmt,29.56195932303244,29.54623884272434,29.842352424986256,29.270808658819963
dis,26.240404969580446,26.161685990842557,26.48906643714494,25.89541755419656
