ticker,open,close,high,low
mmm,171.12149486836253,171.06032039268214,172.41502423025443,169.64302369477934
axp,110.20522311468083,110.18560919232479,111.29276916555118,109.05740584560449
amgn,196.97011378848728,196.982833556448,198.94250504239167,194.92995711735813
aapl,75.17170682730931,75.24056224899603,76.02670366800538,74.37646459616245
ba,218.07278558679172,218.01898451584066,220.75493110218653,215.30993217313733
cat,141.0007831325302,141.0215845158412,142.5518290049083,139.37283070057995
cvx,115.38768853190533,115.38254618473884,116.51664024988862,114.20758982597042
csco,40.80410307898262,40.81649709950914,41.17530736278454,40.43439812583664
ko,49.2043633645694,49.20266443551984,49.53769544846051,48.85755452922803
dow,53.17365205223881,53.14694029850746,53.86932518656713,52.44469272388057
gs,244.45032797858096,244.47560972779993,246.97680232039247,241.89095475234302
hd,209.28674141008477,209.36377559125364,211.28949397590358,207.30344283801892
hon,203.03406015037606,202.95233082706773,204.78030827067676,201.05197424812036
ibm,137.88955857206548,137.87996948683647,138.96632976349818,136.7767565595714
intc,42.90429941990176,42.91893351182506,43.393807362784436,42.424204953145995
jnj,136.5533043284248,136.552503659081,137.4995684069613,135.53562025881322
jpm,104.023409192325,104.01912748772871,105.00121044176706,103.02256358768422
mcd,178.92917336010734,178.97288755020108,180.27467822400718,177.60678951361038
mrk,70.45710030789817,70.45370858991521,71.05515971887552,69.80107310129397
msft,145.32960731816172,145.39564257028098,146.80925265506463,143.82136224899602
nke,87.16563141454724,87.1510333779564,88.03019709950904,86.25358596608658
pg,108.43665488621163,108.47770999553772,109.25016193663534,107.6700964747879
crm,141.49990406068727,141.48794622936165,143.24036760374838,139.61464872824664
trv,132.97099062918346,133.00399817045937,134.06258987059346,131.85218656849642
unh,271.4331883087908,271.46293047746536,274.13788094600653,268.6297600178494
vz,51.20999330655958,51.20119192324854,51.57817884872832,50.80385274431054
v,145.92265339134337,145.93001619812608,147.27341193663557,144.5322077777778
wba,61.95864681050659,61.93849906191381,62.60537992495306,61.267634943714754
wmt,104.87865350290043,104.9008216867468,105.7460313253013,104.06719040606878
dis,118.31382320392686,118.24096171352109,119.35478500669328,117.09127456492615
