MAE Loss,MSE Loss,Accuracy
0.1929980218410492,0.3079204857349396,0.23845809698104858
0.13620343804359436,0.11411794275045395,0.22411474585533142
0.139182448387146,0.12539216876029968,0.25638726353645325
0.1338598132133484,0.11046569794416428,0.2348722517490387
0.13012772798538208,0.10303381830453873,0.26759299635887146
0.1266610324382782,0.09583670645952225,0.23083819448947906
0.11435990035533905,0.07951436191797256,0.24921560287475586
0.12455735355615616,0.10230909287929535,0.2398027777671814
0.10826269537210464,0.07345527410507202,0.24742268025875092
0.09283151477575302,0.053619228303432465,0.22545944154262543
0.08113910257816315,0.04379082843661308,0.23890632390975952
0.07943765819072723,0.04263254627585411,0.2510085105895996
0.07029326260089874,0.03396441414952278,0.25907665491104126
0.061796531081199646,0.026848947629332542,0.2644554078578949
0.06083502620458603,0.027069231495261192,0.2433886080980301
0.05969937890768051,0.0261516310274601,0.23845809698104858
0.05429746210575104,0.02063305489718914,0.2411474734544754
0.05470137298107147,0.02148602344095707,0.24294038116931915
0.05206846818327904,0.019668780267238617,0.2684894800186157
0.05167248845100403,0.018758274614810944,0.2644554078578949
0.049958132207393646,0.018267223611474037,0.27476468682289124
0.04721010476350784,0.015913555398583412,0.25907665491104126
0.04749938100576401,0.016286883503198624,0.2653518617153168
0.04683012142777443,0.015616033226251602,0.260869562625885
0.046659164130687714,0.015716537833213806,0.2756611406803131
