MAE Loss,MSE Loss,Accuracy
0.7693329453468323,0.8475056886672974,0.33070865273475647
0.48793476819992065,0.39399266242980957,0.3287401497364044
0.3764846622943878,0.23214936256408691,0.3326771557331085
0.3413938283920288,0.18686425685882568,0.1988188922405243
0.3149315416812897,0.15471123158931732,0.30314961075782776
0.3076752722263336,0.1439058780670166,0.31889763474464417
0.2940637469291687,0.13349191844463348,0.27952754497528076
0.28502529859542847,0.1237940564751625,0.3366141617298126
0.2836586833000183,0.1221032589673996,0.25196850299835205
0.2798141539096832,0.12028618156909943,0.2972441017627716
