MAE Loss,MSE Loss,Accuracy
0.36259934306144714,0.2878393828868866,0.26973387598991394
0.14790505170822144,0.039874084293842316,0.27830401062965393
0.14371678233146667,0.03694184496998787,0.2769508361816406
0.1382765769958496,0.03404393792152405,0.30446550250053406
0.13812625408172607,0.03390970826148987,0.28912946581840515
0.13841988146305084,0.03355151042342186,0.2954442799091339
0.1325731724500656,0.031157851219177246,0.25981056690216064
0.1388142704963684,0.03356271609663963,0.3067207932472229
0.13717205822467804,0.03327042981982231,0.3053676187992096
0.13577263057231903,0.03265022858977318,0.29769960045814514
