MAE Loss,MSE Loss,Accuracy
0.1928516924381256,0.28996631503105164,0.2496638298034668
0.13815391063690186,0.11887563765048981,0.2447333037853241
0.1338241696357727,0.11382857710123062,0.25504258275032043
0.13446544110774994,0.11562567204236984,0.26131778955459595
0.13526852428913116,0.11624253541231155,0.2644554078578949
0.13870511949062347,0.1205935925245285,0.24787090718746185
0.13045205175876617,0.10803845524787903,0.26490363478660583
0.132646843791008,0.1113477572798729,0.23756162822246552
0.12050876021385193,0.0930551141500473,0.24025100469589233
0.1206694170832634,0.09344363212585449,0.2362169474363327
0.11984135210514069,0.09090261161327362,0.25549080967903137
0.10475106537342072,0.07169538736343384,0.24204392731189728
0.10149350762367249,0.0677378922700882,0.23576872050762177
0.09453628957271576,0.05964969843626022,0.2519049644470215
0.08975818753242493,0.05450509488582611,0.2433886080980301
0.08960840106010437,0.05383265018463135,0.2581802010536194
0.08885867893695831,0.054320648312568665,0.26490363478660583
0.0851517841219902,0.050291407853364944,0.23935455083847046
0.08221469819545746,0.04684930667281151,0.26759299635887146
0.08267859369516373,0.04813462868332863,0.2900044918060303
0.08248942345380783,0.048083774745464325,0.2631107270717621
0.08006589114665985,0.044612664729356766,0.27386823296546936
0.08027801662683487,0.044886182993650436,0.2604213356971741
0.0800544023513794,0.0444205068051815,0.27610936760902405
0.07893896102905273,0.04338255152106285,0.3052442967891693
