MAE Loss,MSE Loss,Accuracy
0.35321956872940063,0.3091544508934021,0.2855209708213806
0.13680407404899597,0.035286225378513336,0.2909336984157562
0.13029365241527557,0.033096618950366974,0.30311232805252075
0.12425685673952103,0.031833942979574203,0.29048264026641846
0.12061675637960434,0.030363358557224274,0.29905277490615845
0.13065318763256073,0.03369295224547386,0.2787550687789917
0.12262440472841263,0.03078075312077999,0.27649977803230286
0.12212410569190979,0.030411144718527794,0.30581867694854736
0.12154532223939896,0.03024454042315483,0.3022101819515228
0.12265340983867645,0.03124844841659069,0.27920612692832947
