MAE Loss,MSE Loss,Accuracy
0.3436315953731537,0.29150187969207764,0.24582768976688385
0.12273193895816803,0.026144083589315414,0.27649977803230286
0.09925278276205063,0.01837705820798874,0.2841677963733673
0.09629230946302414,0.01737477071583271,0.3035633862018585
0.09245675057172775,0.016259264200925827,0.3053676187992096
0.09178625047206879,0.015885386615991592,0.3022101819515228
0.09274736791849136,0.016414178535342216,0.30446550250053406
0.0934441015124321,0.016793152317404747,0.3008570075035095
0.09130635112524033,0.016162391752004623,0.2967974841594696
0.08956717699766159,0.01568748988211155,0.3008570075035095
