MAE Loss,MSE Loss,Accuracy
0.32785770297050476,0.2547094523906708,0.25529995560646057
0.08577313274145126,0.014091656543314457,0.2814614474773407
0.07450655102729797,0.010869873687624931,0.30626973509788513
0.07000447809696198,0.010039654560387135,0.28191250562667847
0.06938354671001434,0.009789478033781052,0.2900315821170807
0.06771430373191833,0.009495612233877182,0.2886784076690674
0.06511379033327103,0.009020807221531868,0.2895805239677429
0.06601511687040329,0.009174829348921776,0.30446550250053406
0.06661831587553024,0.009374246001243591,0.26387009024620056
0.06661710888147354,0.009218868799507618,0.3161930441856384
