MAE Loss,MSE Loss,Accuracy
0.36683741211891174,0.31899550557136536,0.2088407725095749
0.13696081936359406,0.0343557670712471,0.2805593013763428
0.12612158060073853,0.03017743118107319,0.2967974841594696
0.12697868049144745,0.030758876353502274,0.30626973509788513
0.11833041906356812,0.0280615147203207,0.31980153918266296
0.1165066584944725,0.027069728821516037,0.3265674412250519
0.11967753618955612,0.028074229136109352,0.3022101819515228
0.11848018318414688,0.02774336375296116,0.34100136160850525
0.11436308920383453,0.026615064591169357,0.3022101819515228
0.12052707374095917,0.028603268787264824,0.32025259733200073
