MAE Loss,MSE Loss,Accuracy
0.18740135431289673,0.2695036232471466,0.26266247034072876
0.146248459815979,0.14111067354679108,0.2510085105895996
0.14096488058567047,0.1285364180803299,0.24249215424060822
0.1289517730474472,0.10526964068412781,0.2536979019641876
0.12645792961120605,0.10124612599611282,0.2398027777671814
0.13303294777870178,0.11183419078588486,0.24787090718746185
0.1286107450723648,0.1058068796992302,0.2411474734544754
0.12657468020915985,0.10232104361057281,0.23218287527561188
0.12324636429548264,0.09933791309595108,0.2536979019641876
0.11521714180707932,0.08891661465167999,0.24518153071403503
0.10291390866041183,0.07118608802556992,0.25549080967903137
0.09953489154577255,0.06995909661054611,0.2702823877334595
0.09619127959012985,0.06419829279184341,0.2496638298034668
0.08769223839044571,0.05405176058411598,0.2716270685195923
0.08164109289646149,0.04844759404659271,0.2568354904651642
0.08176253736019135,0.049927081912755966,0.22859704494476318
0.08030863851308823,0.04734770953655243,0.2702823877334595
0.07974809408187866,0.046667736023664474,0.2720752954483032
0.0802261009812355,0.04725400358438492,0.24742268025875092
0.07889765501022339,0.04588761925697327,0.260869562625885
0.07562554627656937,0.04313797503709793,0.2702823877334595
0.07496071606874466,0.043002817779779434,0.2877633273601532
0.07497193664312363,0.04186561331152916,0.28955626487731934
0.0732579231262207,0.04065417870879173,0.2841775119304657
0.07384876161813736,0.04104446992278099,0.291797399520874
