MAE Loss,MSE Loss,Accuracy
0.19442018866539001,0.2940514385700226,0.24742268025875092
0.14470896124839783,0.1315864771604538,0.26400718092918396
0.1441754698753357,0.1306961327791214,0.2447333037853241
0.12968382239341736,0.10561329126358032,0.23173464834690094
0.13267865777015686,0.11558999866247177,0.25504258275032043
0.12825621664524078,0.10577138513326645,0.2644554078578949
0.11576437950134277,0.08815106749534607,0.2604213356971741
0.11310306191444397,0.08299532532691956,0.23532047867774963
0.09946782886981964,0.06983128190040588,0.2581802010536194
0.0939282551407814,0.06570013612508774,0.2801434397697449
0.09081330895423889,0.06134772673249245,0.2595248818397522
0.08029220998287201,0.04840259999036789,0.2536979019641876
0.07592904567718506,0.04431309178471565,0.2671447694301605
0.0754435807466507,0.04477674514055252,0.2536979019641876
0.07405388355255127,0.041886135935783386,0.23352757096290588
0.06939532607793808,0.03751270845532417,0.24652622640132904
0.07039839029312134,0.037180185317993164,0.2805916666984558
0.06811708956956863,0.035739362239837646,0.2680412232875824
0.06852483749389648,0.03631531819701195,0.2622142434120178
0.06738755851984024,0.0363568477332592,0.27252352237701416
0.06696677953004837,0.03473982214927673,0.2604213356971741
0.06353291869163513,0.03250816464424133,0.279246985912323
0.06290335208177567,0.03270382806658745,0.2756611406803131
0.06032547727227211,0.02953033521771431,0.26759299635887146
0.061407167464494705,0.03030802123248577,0.25638726353645325
