MAE Loss,MSE Loss,Accuracy
0.33913034200668335,0.25010359287261963,0.2950664162635803
0.11422528326511383,0.02369062416255474,0.2926945090293884
0.1121252030134201,0.022598281502723694,0.2960151731967926
0.10602238029241562,0.02040514349937439,0.2751423120498657
0.09956171363592148,0.018089907243847847,0.31024667620658875
0.09607056528329849,0.017064673826098442,0.29554080963134766
0.10802090913057327,0.020687639713287354,0.25332069396972656
0.09770561754703522,0.01748482882976532,0.31261858344078064
0.09788237512111664,0.01748642325401306,0.31925997138023376
0.09979506582021713,0.017911866307258606,0.3121442198753357
