MAE Loss,MSE Loss,Accuracy
0.18853233754634857,0.25929948687553406,0.2362169474363327
0.1653849184513092,0.17515957355499268,0.2581802010536194
0.14942999184131622,0.14635512232780457,0.25907665491104126
0.15367096662521362,0.15231899917125702,0.23711340129375458
0.14939095079898834,0.14299146831035614,0.2496638298034668
0.14112171530723572,0.12922023236751556,0.2644554078578949
0.14433521032333374,0.13861475884914398,0.2411474734544754
0.1472567319869995,0.14361514151096344,0.24562975764274597
0.13863110542297363,0.12745633721351624,0.2658000886440277
0.13747720420360565,0.12610715627670288,0.2523531913757324
0.12972021102905273,0.11258575320243835,0.24742268025875092
0.12654711306095123,0.10876026749610901,0.24249215424060822
0.12188424170017242,0.10439012199640274,0.2671447694301605
0.11259569972753525,0.08939030021429062,0.25011205673217773
0.11688284575939178,0.0971260741353035,0.2536979019641876
0.11188950389623642,0.08849301189184189,0.26131778955459595
0.10808516293764114,0.08397065103054047,0.26893770694732666
0.10653664171695709,0.08176999539136887,0.27969521284103394
0.1041335016489029,0.07703915983438492,0.2850739657878876
0.10525750368833542,0.08183204382658005,0.29090094566345215
0.10506826639175415,0.0800171047449112,0.28462573885917664
0.10046195983886719,0.0733330026268959,0.276557594537735
0.09951582551002502,0.07416651397943497,0.28462573885917664
0.09959302097558975,0.07340678572654724,0.2913491725921631
0.09871615469455719,0.0719103142619133,0.294935017824173
