MAE Loss,MSE Loss,Accuracy
0.34973376989364624,0.39216363430023193,0.29634642601013184
0.14714622497558594,0.04069056734442711,0.32025259733200073
0.12668408453464508,0.03214193880558014,0.3373928666114807
0.12370835244655609,0.031043648719787598,0.299954891204834
0.1230413019657135,0.031132379546761513,0.34370771050453186
0.1257128268480301,0.031924955546855927,0.3220568299293518
0.1310594528913498,0.03360798582434654,0.30897608399391174
0.12295301258563995,0.030708597972989082,0.3378439247608185
0.12650352716445923,0.03223831579089165,0.3220568299293518
0.12335316836833954,0.031079793348908424,0.3238610625267029
