MAE Loss,MSE Loss,Accuracy
0.1038644090294838,0.15875975787639618,0.2702823877334595
0.03872565180063248,0.012606048956513405,0.27117884159088135
0.040153633803129196,0.013892498798668385,0.27252352237701416
0.03973286971449852,0.012798047624528408,0.2631107270717621
0.0372079461812973,0.011605273000895977,0.24025100469589233
0.03665100038051605,0.011704079806804657,0.2510085105895996
0.042204614728689194,0.01500088069587946,0.2200806885957718
0.03723001480102539,0.0119743961840868,0.23263110220432281
0.03944346308708191,0.012812822125852108,0.291797399520874
0.036721862852573395,0.012101602740585804,0.2447333037853241
0.03797074407339096,0.011913886293768883,0.27745404839515686
0.035121262073516846,0.01111515797674656,0.2617660164833069
0.036360710859298706,0.011752704158425331,0.2178395390510559
0.03721223026514053,0.011306104250252247,0.2631107270717621
0.03582899272441864,0.011141329072415829,0.2164948433637619
0.039504654705524445,0.013074727728962898,0.24159570038318634
0.03748978674411774,0.01234991941601038,0.2702823877334595
0.03678363934159279,0.012389389798045158,0.2362169474363327
0.0405840240418911,0.014547811821103096,0.2164948433637619
0.035667482763528824,0.011243564076721668,0.24787090718746185
0.035364843904972076,0.011300468817353249,0.24383684992790222
0.03559723496437073,0.010892119258642197,0.25414612889289856
0.03830237314105034,0.0120346425101161,0.2707306146621704
0.03935697674751282,0.012229841202497482,0.29583147168159485
0.03743184357881546,0.012022056616842747,0.26759299635887146
